timestamp,source_ip,destination_ip,protocol,source_port,destination_port,flow_duration_ms,packets,bytes,failed_connections,connection_rate_per_min
01-09-2026 07:47:31,10.0.1.199,10.20.2.231,TCP,18469,22,236.31,7,3252,0,10.59
03-09-2026 21:17:23,192.168.10.18,192.168.110.153,UDP,29596,995,436.21,20,5250,0,58.64
04-09-2026 01:45:14,10.0.4.247,192.168.100.169,TCP,1101,8443,183.83,8,7448,0,22.39
06-09-2026 09:21:34,172.16.10.79,198.51.100.254,ICMP,0,0,111.23,1,75,0,25.87
05-09-2026 20:09:04,172.16.20.8,203.0.113.198,UDP,31289,8080,86.79,2,889,0,43.41
03-09-2026 23:52:46,172.16.20.50,192.168.110.253,ICMP,0,0,106.45,1,77,0,63.08
02-09-2026 21:50:49,10.0.1.150,10.20.2.157,TCP,64535,15646,113.7,2,2044,0,82.09
07-09-2026 19:24:37,172.16.20.173,10.20.2.157,ICMP,0,0,2562.26,2,139,0,12.62
02-09-2026 10:56:13,10.0.3.130,198.51.100.220,UDP,4845,445,122.78,3,1954,0,39.03
01-09-2026 13:40:49,10.0.2.141,1.1.1.1,TCP,9001,1521,166.52,5,4833,2,20.76
02-09-2026 21:32:52,10.0.1.93,10.20.1.17,UDP,30347,443,451.39,9,7658,0,76.93
01-09-2026 09:13:23,172.16.20.190,198.51.100.140,TCP,21104,68,3748.05,8,4767,1,21.85
06-09-2026 15:24:22,10.0.1.109,192.168.110.64,ICMP,0,0,320.51,5,536,0,36.59
07-09-2026 21:51:03,192.168.10.17,203.0.113.193,ICMP,0,0,326.54,1,95,0,17.23
03-09-2026 07:18:53,172.16.20.50,172.18.1.67,TCP,29578,137,281.45,2,1164,0,11.28
05-09-2026 19:09:16,10.0.1.183,192.168.100.135,UDP,10119,389,1902.03,21,17399,0,11.67
07-09-2026 06:52:53,10.0.1.23,10.20.1.199,TCP,11355,445,254.67,3,3800,0,47.35
02-09-2026 21:00:25,10.0.3.121,192.168.100.69,UDP,10735,52193,403.03,9,4245,0,16.92
06-09-2026 08:24:46,10.0.3.33,198.51.100.221,UDP,58405,1521,31.45,6,6004,0,18.68
04-09-2026 15:59:17,10.0.3.205,172.18.1.179,UDP,54188,443,19401.17,59,34893,0,85.81
01-09-2026 08:52:33,10.0.2.172,192.168.110.127,UDP,34195,22,381.94,25,22689,0,64.59
03-09-2026 11:14:24,10.0.1.211,172.18.2.171,UDP,26205,3375,107.16,2,2072,0,43.52
07-09-2026 07:55:21,10.0.2.193,172.18.1.170,UDP,31998,135,167.03,3,2341,0,48.46
02-09-2026 14:40:37,192.168.1.72,10.20.2.157,TCP,51840,14905,81.62,2,2100,0,30.29
04-09-2026 16:06:31,10.0.1.116,192.168.110.14,TCP,36726,38714,348.04,4,4182,0,10.92
02-09-2026 15:04:52,192.168.1.86,192.168.110.103,TCP,39636,110,2237.88,15,6523,0,21.99
02-09-2026 16:14:18,192.168.10.108,10.20.1.13,TCP,65438,80,884.16,9,6191,0,16.02
06-09-2026 08:44:25,10.0.1.228,192.168.110.79,UDP,59019,993,270.28,4,2283,0,10.18
